Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,351
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,162
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,71
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,73
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,67
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,66
2026-07-05 15:04:34,192.168.0.121,172.64.148.235,TCP,58460,443,144
2026-07-05 15:04:34,172.64.148.235,192.168.0.121,TCP,443,58460,64
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,534
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,93
2026-07-05 15:04:34,192.168.0.121,142.250.202.14,UDP,53504,443,77
2026-07-05 15:04:34,142.250.202.14,192.168.0.121,UDP,443,53504,66
2026-07-05 15:04:34,172.64.148.235,192.168.0.121,TCP,443,58460,137
2026-07-05 15:04:34,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:34,192.168.0.121,142.250.202.142,UDP,50588,443,124
2026-07-05 15:04:34,192.168.0.121,172.64.148.235,TCP,58460,443,54
2026-07-05 15:04:34,142.250.202.142,192.168.0.121,UDP,443,50588,86
2026-07-05 15:04:34,142.250.202.142,192.168.0.121,UDP,443,50588,86
2026-07-05 15:04:34,142.250.202.142,192.168.0.121,UDP,443,50588,1296
2026-07-05 15:04:34,142.250.202.142,192.168.0.121,UDP,443,50588,1296
2026-07-05 15:04:34,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,1296
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,1296
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,324
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,990
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,71
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,120
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,73
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1288
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1292
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,242
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1086
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,248
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,1086
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,248
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,668
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,166
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,71
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,71
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,71
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,75
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,71
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,71
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,74
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,1292
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,1125
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,113
